CustomerID,Tenure,Contract,MonthlyCharges,Churn
CUST02863,60,Two Year,52.53,No
CUST02674,2,Month-to-Month,42.17,Yes
CUST05988,48,Month-to-Month,63.56,Yes
CUST00178,6,One Year,51.55,No
CUST06468,1,Two Year,63.16,No
CUST00038,1,Month-to-Month,72.11,No
CUST03397,36,Month-to-Month,50.78,No
CUST03810,1,One Year,50.63,No
CUST04709,36,Month-to-Month,41.68,No
CUST03367,3,Two Year,68.83,No
CUST04673,24,Month-to-Month,74.13,No
CUST00586,2,One Year,42.19,No
CUST01439,2,One Year,57.3,No
CUST01023,48,Two Year,68.48,Yes
CUST00545,18,Month-to-Month,53.72,Yes
CUST03881,12,Month-to-Month,48.4,Yes
CUST01075,72,Two Year,60.09,No
CUST03967,3,Month-to-Month,36.12,Yes
CUST02550,1,Two Year,32.95,No
CUST04928,2,Month-to-Month,61.78,No
CUST00753,18,Month-to-Month,59.25,No
CUST04813,1,Month-to-Month,88.65,Yes
CUST04304,12,Month-to-Month,77.04,Yes
CUST04939,24,Month-to-Month,87.96,No
CUST03434,6,Month-to-Month,45.23,Yes
CUST01607,1,One Year,58.18,No
CUST03916,6,Month-to-Month,77.22,Yes
CUST06964,18,Month-to-Month,66.28,No
CUST06650,36,One Year,77.6,No
CUST02118,18,Two Year,55.83,No
CUST02441,12,Month-to-Month,51.49,No
CUST04344,36,Two Year,42.36,No
CUST01935,18,One Year,33.19,No
CUST02200,6,One Year,49.84,Yes
CUST00051,60,Two Year,43.51,No
CUST03640,2,Month-to-Month,87.08,No
CUST04767,36,Month-to-Month,83.89,No
CUST06953,6,Two Year,34.86,No
CUST02861,36,Two Year,39.76,No
CUST03083,2,One Year,55.11,Yes
CUST05434,1,One Year,76.93,No
CUST00430,1,One Year,68.5,No
CUST06892,48,Two Year,63.45,No
CUST04155,2,Two Year,37.41,No
CUST03890,6,Month-to-Month,85.88,Yes
CUST01413,2,Month-to-Month,60.75,No
CUST01733,12,Month-to-Month,85.47,No
CUST02250,1,Month-to-Month,61.08,Yes
CUST06649,18,Month-to-Month,39.24,No
CUST02782,36,Month-to-Month,49.21,Yes
CUST04355,12,One Year,53.46,No
CUST03947,18,Month-to-Month,83.67,No
CUST04519,2,One Year,71.76,Yes
CUST03797,12,Month-to-Month,57.39,Yes
CUST04247,2,Month-to-Month,68.73,Yes
CUST04109,36,Month-to-Month,66.06,No
CUST05649,18,One Year,70.26,No
CUST02274,18,Month-to-Month,53.85,No
CUST03393,36,One Year,35.7,No
CUST05774,24,Month-to-Month,39.02,Yes
CUST02307,1,Month-to-Month,94.44,Yes
CUST04560,72,Two Year,33.94,No
CUST03625,2,Two Year,26.26,No
CUST05815,1,Month-to-Month,64.78,Yes
CUST01741,36,One Year,37.57,No
CUST05611,1,Month-to-Month,76.54,Yes
CUST02119,1,Two Year,49.16,No
CUST06045,24,Month-to-Month,53.69,No
CUST02685,3,One Year,43.44,No
CUST05621,1,One Year,77.51,No
CUST04368,6,Two Year,44.74,No
CUST01551,60,Two Year,64.68,No
CUST00231,24,Month-to-Month,39.81,No
CUST00535,24,Two Year,59.97,No
CUST00240,2,Month-to-Month,72.16,Yes
CUST06098,36,Month-to-Month,51.91,No
CUST05442,2,One Year,36.5,Yes
CUST05941,6,Month-to-Month,70.23,No
CUST03818,36,One Year,69.98,No
CUST05921,1,Two Year,43.05,No
CUST03134,12,Month-to-Month,76.62,No
CUST01889,24,Month-to-Month,71.88,Yes
CUST01329,18,Two Year,66.57,No
CUST03384,2,Two Year,58.08,No
CUST01455,1,Two Year,50.77,No
CUST05717,2,Month-to-Month,93.81,Yes
CUST05777,18,Month-to-Month,93.88,No
CUST02139,2,Month-to-Month,58.81,Yes
CUST04443,2,Month-to-Month,86.82,Yes
CUST02577,60,One Year,66.54,No
CUST02273,12,One Year,40.04,Yes
CUST02619,36,One Year,32.73,No
CUST06356,60,One Year,72.98,No
CUST02624,48,One Year,54.98,No
CUST00469,2,One Year,65.32,No
CUST00080,1,One Year,42.33,No
CUST06360,18,Month-to-Month,89.03,Yes
CUST04954,18,One Year,31.84,No
CUST03464,18,Two Year,66.93,No
CUST02064,6,Month-to-Month,67.02,Yes
CUST04878,24,Month-to-Month,53.27,Yes
CUST06370,36,Month-to-Month,90.98,Yes
CUST03934,2,One Year,54.11,No
CUST05508,3,Two Year,59.09,No
CUST06464,2,One Year,37.89,No
CUST03173,2,Month-to-Month,84.98,No
CUST01895,12,Month-to-Month,59.95,No
CUST02207,3,Month-to-Month,91.47,Yes
CUST00995,3,Month-to-Month,92.09,Yes
CUST01802,24,Month-to-Month,73.28,Yes
CUST06849,18,Month-to-Month,38.82,Yes
CUST01453,36,One Year,32.1,No
CUST01587,24,Two Year,41.13,No
CUST04014,2,Month-to-Month,83.14,Yes
CUST00458,6,Month-to-Month,66.28,Yes
CUST01452,18,Month-to-Month,46.97,Yes
CUST05965,12,Month-to-Month,68.56,No
CUST05369,24,Month-to-Month,40.06,No
CUST00438,36,Month-to-Month,85.9,No
CUST05947,3,Month-to-Month,38.97,No
CUST05013,12,Two Year,30.9,No
CUST01972,36,One Year,76.87,No
CUST05027,2,One Year,46.2,No
CUST02717,18,Month-to-Month,60.16,No
CUST00470,60,Month-to-Month,38.85,Yes
CUST00504,36,Month-to-Month,68.86,No
CUST01048,1,Month-to-Month,65.23,No
CUST03361,24,Two Year,61.7,No
CUST05940,3,Month-to-Month,43.37,No
CUST03872,2,One Year,50.26,No
CUST03930,1,Two Year,50.82,No
CUST06101,3,Month-to-Month,93.41,Yes
CUST04765,12,Month-to-Month,87.72,No
CUST05414,1,Two Year,63.66,No
CUST03616,1,Month-to-Month,69.24,Yes
CUST06157,24,Month-to-Month,42.37,No
CUST00474,36,Month-to-Month,47.41,No
CUST06084,2,One Year,72.29,No
CUST02887,12,Two Year,74.58,No
CUST01555,2,Month-to-Month,43.33,No
CUST04128,48,Month-to-Month,91.82,No
CUST01941,1,Month-to-Month,59.53,Yes
CUST06187,24,Month-to-Month,40.78,No
CUST05948,1,Month-to-Month,92.61,Yes
CUST05460,60,Month-to-Month,39.44,Yes
CUST06682,2,Two Year,46.3,No
CUST06498,1,Month-to-Month,40.34,No
CUST06151,12,Month-to-Month,93.67,Yes
CUST02901,1,Month-to-Month,82.84,Yes
CUST01202,1,Month-to-Month,49.6,Yes
CUST05715,18,Month-to-Month,69.42,Yes
CUST06270,18,Two Year,41.98,No
CUST00536,48,One Year,68.34,Yes
CUST05690,18,Month-to-Month,45.27,Yes
CUST03734,12,One Year,39.63,Yes
CUST05800,2,Month-to-Month,72.26,Yes
CUST02875,24,One Year,47.96,No
CUST05179,12,Month-to-Month,56.09,No
CUST03143,12,Two Year,65.87,No
CUST03114,1,Month-to-Month,60.18,Yes
CUST03807,6,Month-to-Month,79.9,Yes
CUST05039,24,One Year,69.86,No
CUST04054,12,Two Year,40.33,No
CUST03044,6,One Year,31.29,No
CUST01336,18,Month-to-Month,49.25,Yes
CUST06245,24,One Year,62.4,No
CUST02765,1,Two Year,74.85,No
CUST05562,72,Month-to-Month,42.83,No
CUST01965,12,One Year,63.67,No
CUST01560,48,Two Year,65.18,No
CUST00186,18,Two Year,41.97,No
CUST05532,1,One Year,65.99,No
CUST05072,24,Month-to-Month,36.9,No
CUST06714,36,Month-to-Month,41.84,Yes
CUST05842,1,One Year,69.47,Yes
CUST06420,12,One Year,72.88,Yes
CUST03663,1,Two Year,60.23,No
CUST03576,6,Two Year,33.86,No
CUST02078,6,One Year,37.3,Yes
CUST01502,12,Month-to-Month,92.17,Yes
CUST00234,12,Month-to-Month,75.51,No
CUST05490,48,One Year,65.0,No
CUST01499,6,Month-to-Month,56.8,Yes
CUST04757,1,Two Year,42.34,No
CUST04410,12,Month-to-Month,85.61,Yes
CUST03718,1,Month-to-Month,72.27,Yes
CUST02499,72,Two Year,60.57,No
CUST00735,3,Month-to-Month,70.12,Yes
CUST01650,24,Month-to-Month,54.65,No
CUST01957,18,One Year,38.92,No
CUST06493,6,Month-to-Month,77.08,No
CUST02277,24,Month-to-Month,52.49,No
CUST04126,18,One Year,33.62,No
CUST04465,18,One Year,32.99,No
CUST06460,3,Month-to-Month,59.04,Yes
CUST03045,24,One Year,38.54,No
CUST01583,18,Two Year,27.77,No
CUST05273,3,Two Year,74.87,No
CUST02376,3,Month-to-Month,36.75,No
CUST04036,72,Two Year,59.39,No
CUST01870,24,Month-to-Month,49.13,No
CUST04990,24,Two Year,74.36,No
CUST05822,6,One Year,36.6,No
CUST03091,6,Month-to-Month,94.06,Yes
CUST04902,12,Two Year,59.59,No
CUST00218,24,One Year,65.92,No
CUST04999,36,Two Year,74.75,No
CUST04537,6,Two Year,69.49,No
CUST03423,24,One Year,38.74,No
CUST03270,18,Month-to-Month,87.59,Yes
CUST00677,1,One Year,67.0,No
CUST06725,18,Two Year,56.19,No
CUST05211,48,One Year,59.61,Yes
CUST03414,3,Month-to-Month,65.7,Yes
CUST04329,1,Two Year,48.81,No
CUST01421,3,One Year,56.3,No
CUST04254,12,Two Year,56.49,No
CUST00382,24,Month-to-Month,53.02,No
CUST06049,36,Two Year,54.88,No
CUST06756,6,One Year,78.53,No
CUST01159,36,Month-to-Month,80.3,No
CUST03286,1,Month-to-Month,50.63,No
CUST05462,2,One Year,49.14,Yes
CUST04619,3,Two Year,70.89,No
CUST00737,6,Two Year,49.59,No
CUST02324,3,Month-to-Month,37.66,Yes
CUST00170,18,Month-to-Month,42.94,No
CUST02652,3,Month-to-Month,51.65,No
CUST00684,18,Month-to-Month,39.5,No
CUST00743,24,One Year,46.49,No
CUST02133,12,Month-to-Month,40.78,No
CUST01176,12,Month-to-Month,79.82,Yes
CUST00394,24,Month-to-Month,67.88,No
CUST00971,18,Two Year,36.07,No
CUST05608,36,Two Year,45.81,No
CUST05403,60,Month-to-Month,90.06,Yes
CUST03995,12,Two Year,29.81,Yes
CUST04919,24,Month-to-Month,68.93,No
CUST01380,18,Month-to-Month,36.69,No
CUST05595,3,Month-to-Month,90.54,No
CUST05156,3,Month-to-Month,80.34,No
CUST04366,18,One Year,50.59,No
CUST00180,1,Month-to-Month,63.02,Yes
CUST02580,18,Month-to-Month,87.86,No
CUST06570,6,Two Year,66.74,No
CUST01684,36,One Year,79.45,No
CUST01567,18,Two Year,51.28,No
CUST06983,48,Month-to-Month,79.21,Yes
CUST05446,2,Month-to-Month,93.03,Yes
CUST01109,24,One Year,60.02,No
CUST03128,1,Two Year,49.28,No
CUST06528,36,Month-to-Month,76.06,Yes
CUST04535,12,Month-to-Month,47.52,No
CUST04817,48,One Year,35.34,No
CUST01955,72,Month-to-Month,74.21,No
CUST00169,1,Month-to-Month,47.85,No
CUST01415,12,Month-to-Month,49.43,No
CUST06319,18,Two Year,56.34,No
CUST00707,3,One Year,67.45,No
CUST01672,36,Month-to-Month,87.95,Yes
CUST04202,2,Month-to-Month,58.62,No
CUST04527,24,Month-to-Month,74.48,Yes
CUST05565,48,Month-to-Month,53.44,No
CUST03196,12,Two Year,44.33,No
CUST01730,18,Month-to-Month,45.23,No
CUST06644,36,One Year,40.57,No
CUST00436,24,Two Year,27.51,No
CUST03575,36,Two Year,71.06,No
CUST02760,1,One Year,35.2,No
CUST00512,6,Two Year,41.34,No
CUST01579,18,Month-to-Month,45.92,Yes
CUST02482,36,Month-to-Month,67.33,No
CUST05966,36,Month-to-Month,62.81,No
CUST06219,6,Two Year,59.27,No
CUST00812,36,Month-to-Month,54.31,No
CUST01278,72,Month-to-Month,70.87,Yes
CUST04831,24,Month-to-Month,77.72,No
CUST04920,3,Two Year,57.98,No
CUST01859,36,One Year,72.81,No
CUST01653,2,Month-to-Month,80.79,No
CUST03338,24,Month-to-Month,55.66,No
CUST03863,6,Month-to-Month,67.32,No
CUST01091,48,Two Year,71.15,No
CUST02418,1,Month-to-Month,73.72,Yes
CUST03647,12,Two Year,64.94,No
CUST03976,48,Month-to-Month,84.82,No
CUST04255,2,Month-to-Month,61.99,Yes
CUST01444,6,Month-to-Month,76.72,No
CUST01633,18,Month-to-Month,79.05,Yes
CUST01376,36,Month-to-Month,65.12,No
CUST06056,12,One Year,72.84,No
CUST06875,36,Month-to-Month,37.52,Yes
CUST06329,6,Month-to-Month,38.87,No
CUST00081,36,Month-to-Month,68.68,No
CUST03096,18,Month-to-Month,94.3,Yes
CUST06486,12,Two Year,72.41,No
CUST04984,36,Month-to-Month,66.48,No
CUST01818,24,Month-to-Month,73.75,Yes
CUST00096,12,One Year,49.08,No
CUST04348,12,Month-to-Month,56.95,No
CUST06390,12,Month-to-Month,50.26,No
CUST01892,6,Two Year,32.66,No
CUST06244,24,One Year,42.38,No
CUST04424,24,Month-to-Month,61.58,No
CUST06869,12,One Year,35.55,No
CUST04114,1,Month-to-Month,84.79,Yes
CUST01079,2,Month-to-Month,78.25,Yes
CUST05521,36,Month-to-Month,58.05,No
CUST02909,3,Month-to-Month,89.84,No
CUST05657,18,One Year,35.8,No
CUST01375,2,One Year,32.66,Yes
CUST04029,24,Two Year,34.45,No
CUST03883,60,Month-to-Month,78.99,No
CUST03806,60,Month-to-Month,53.28,No
CUST01006,18,Month-to-Month,58.89,No
CUST00497,12,Month-to-Month,59.26,No
CUST00409,48,Month-to-Month,72.98,No
CUST01756,24,Two Year,70.61,No
CUST03902,6,One Year,47.94,Yes
CUST03387,2,Month-to-Month,71.34,No
CUST01220,3,One Year,39.86,Yes
CUST02532,36,Two Year,53.9,No
CUST01745,6,Month-to-Month,90.23,Yes
CUST04468,2,One Year,69.57,No
CUST04952,1,Month-to-Month,43.9,No
CUST03427,12,Month-to-Month,53.76,No
CUST01298,1,One Year,45.48,Yes
CUST02679,1,Month-to-Month,66.38,No
CUST02433,72,One Year,64.23,No
CUST02128,2,One Year,70.66,No
CUST02358,1,Month-to-Month,53.02,No
CUST04268,1,Month-to-Month,45.47,No
CUST05062,48,One Year,79.18,No
CUST06765,24,One Year,45.05,No
CUST03419,2,Month-to-Month,94.32,No
CUST05134,1,Month-to-Month,39.27,Yes
CUST04435,1,Two Year,56.46,No
CUST03309,3,Two Year,63.95,No
CUST06466,1,One Year,78.48,No
CUST01408,24,Month-to-Month,70.8,No
CUST01010,12,Month-to-Month,62.28,Yes
CUST06152,12,Month-to-Month,38.88,No
CUST04130,1,Two Year,72.84,No
CUST06769,36,One Year,38.31,No
CUST04992,12,Month-to-Month,76.32,No
CUST01738,2,Month-to-Month,41.59,No
CUST00757,18,Month-to-Month,67.56,No
CUST00713,12,Month-to-Month,91.56,Yes
CUST04225,12,Month-to-Month,51.78,Yes
CUST03753,3,One Year,67.34,No
CUST06741,2,Month-to-Month,87.13,Yes
CUST00062,3,Month-to-Month,73.4,No
CUST03996,6,Month-to-Month,63.55,No
CUST01371,60,Month-to-Month,48.32,Yes
CUST06558,1,One Year,43.01,Yes
CUST04857,1,Month-to-Month,53.77,No
CUST02518,12,One Year,68.71,No
CUST01331,12,One Year,70.45,Yes
CUST03721,3,One Year,46.05,Yes
CUST06923,2,Month-to-Month,80.55,Yes
CUST05939,2,Month-to-Month,88.79,Yes
CUST03998,6,One Year,31.95,No
CUST00843,2,Month-to-Month,73.99,Yes
CUST03461,3,Month-to-Month,56.52,Yes
CUST00020,3,One Year,30.32,No
CUST06217,2,Month-to-Month,75.5,Yes
CUST03308,1,Month-to-Month,77.94,Yes
CUST01222,2,Month-to-Month,80.61,Yes
CUST01104,48,Month-to-Month,74.92,No
CUST04997,1,Two Year,40.82,Yes
CUST04020,2,Two Year,59.84,No
CUST01303,1,One Year,71.45,No
CUST03571,3,One Year,76.77,No
CUST00643,2,Month-to-Month,76.85,No
CUST06826,36,Month-to-Month,82.76,No
CUST06161,2,Month-to-Month,77.81,No
CUST00853,2,One Year,33.42,No
CUST05065,24,Two Year,53.55,No
CUST01164,24,Month-to-Month,64.2,No
CUST00801,24,Month-to-Month,51.97,No
CUST05438,36,Month-to-Month,73.28,Yes
CUST03803,36,Month-to-Month,70.8,No
CUST04354,60,One Year,47.19,No
CUST04982,2,Month-to-Month,51.47,No
CUST01374,12,One Year,31.33,No
CUST00938,48,One Year,75.67,No
CUST02240,2,One Year,75.06,Yes
CUST00248,60,Two Year,44.79,No
CUST01098,2,Month-to-Month,68.38,No
CUST05604,18,Month-to-Month,45.76,No
CUST05627,6,Month-to-Month,42.05,No
CUST05693,18,Month-to-Month,71.22,No
CUST03347,3,Month-to-Month,70.78,Yes
CUST05963,6,Two Year,66.73,No
CUST06077,3,Two Year,64.12,No
CUST06963,60,Two Year,52.59,No
CUST01790,12,One Year,42.82,Yes
CUST01554,36,Month-to-Month,47.06,No
CUST00544,18,Two Year,26.28,Yes
CUST04111,12,One Year,33.43,No
CUST04958,18,Two Year,39.92,No
CUST05341,36,One Year,33.07,No
CUST00473,1,Two Year,45.79,No
CUST00229,36,Two Year,32.87,No
CUST03822,3,Month-to-Month,94.66,No
CUST05334,3,Two Year,64.91,No
CUST03529,60,Two Year,36.15,No
CUST05071,12,Month-to-Month,53.87,No
CUST03251,12,One Year,66.06,No
CUST01806,24,Two Year,30.03,No
CUST06990,1,Month-to-Month,72.66,Yes
CUST04335,6,Month-to-Month,76.86,Yes
CUST03150,6,Month-to-Month,43.06,Yes
CUST04657,36,Two Year,50.24,No
CUST02917,24,Month-to-Month,87.9,No
CUST03627,1,Two Year,58.51,No
CUST02535,24,Month-to-Month,55.62,Yes
CUST04321,12,One Year,44.21,No
CUST03594,12,Month-to-Month,77.0,Yes
CUST01671,6,Two Year,46.55,No
CUST04562,3,Month-to-Month,59.91,Yes
CUST05447,3,Month-to-Month,88.76,Yes
CUST05319,1,Month-to-Month,79.5,Yes
CUST06327,60,Month-to-Month,54.12,No
CUST00032,2,Month-to-Month,78.78,Yes
CUST00765,1,One Year,57.46,No
CUST00961,1,Two Year,58.62,No
CUST01966,12,One Year,57.22,Yes
CUST00539,6,Month-to-Month,79.88,No
CUST02891,3,One Year,78.7,No
CUST01085,48,One Year,50.8,No
CUST01600,36,One Year,38.43,No
CUST03186,12,Month-to-Month,70.64,No
CUST02576,18,Month-to-Month,57.98,No
CUST06519,72,Month-to-Month,75.63,No
CUST04033,1,Month-to-Month,42.07,Yes
CUST02465,18,Two Year,65.84,No
CUST06598,2,Month-to-Month,77.54,Yes
CUST00018,12,Month-to-Month,70.36,Yes
CUST00097,12,Two Year,74.81,Yes
CUST06514,24,One Year,36.51,No
CUST04349,36,Month-to-Month,50.59,Yes
CUST01927,12,One Year,70.35,No
CUST00157,18,Month-to-Month,55.29,No
CUST03102,24,One Year,75.54,No
CUST02485,6,Two Year,39.47,No
CUST01923,18,One Year,55.66,No
CUST05552,6,Month-to-Month,43.94,No
CUST00320,2,Two Year,71.49,No
CUST06349,18,Month-to-Month,83.21,No
CUST06505,1,Month-to-Month,62.22,No
CUST05279,48,One Year,54.34,No
CUST01035,1,One Year,30.74,No
CUST00322,24,Month-to-Month,93.57,Yes
CUST01316,18,Month-to-Month,43.25,No
CUST00426,12,Month-to-Month,49.64,Yes
CUST01887,1,One Year,75.81,No
CUST05261,2,Two Year,44.71,No
CUST04615,2,Month-to-Month,48.98,No
CUST03451,6,One Year,64.81,Yes
CUST04697,12,Month-to-Month,46.98,Yes
CUST03169,24,Month-to-Month,86.08,Yes
CUST01468,6,Month-to-Month,79.6,No
CUST00448,24,Month-to-Month,65.29,Yes
CUST01871,36,Two Year,62.69,No
CUST06513,36,One Year,54.71,No
CUST03264,1,Two Year,64.24,No
CUST03758,3,One Year,32.71,No
CUST01394,12,One Year,42.8,No
CUST03922,6,One Year,38.69,No
CUST06258,18,Month-to-Month,76.76,No
CUST01424,1,Month-to-Month,68.25,Yes
CUST01534,3,One Year,36.13,No
CUST06576,24,One Year,68.08,No
CUST05968,1,One Year,30.12,No
CUST06808,6,Month-to-Month,36.25,No
CUST06899,3,Two Year,62.74,Yes
CUST04141,3,One Year,53.04,No
CUST03324,12,Month-to-Month,59.2,No
CUST02579,3,Month-to-Month,53.8,Yes
CUST06109,2,Two Year,72.89,No
CUST05744,72,Month-to-Month,87.45,No
CUST00094,12,Month-to-Month,60.33,Yes
CUST04783,12,One Year,75.49,Yes
CUST00577,1,One Year,56.91,No
CUST05720,1,Month-to-Month,81.12,Yes
CUST05346,12,Two Year,65.44,No
CUST05775,1,Month-to-Month,77.56,No
CUST05662,1,One Year,39.94,No
CUST03378,2,Month-to-Month,67.84,No
CUST00477,1,One Year,59.2,No
CUST06713,24,One Year,55.17,No
CUST02405,18,Month-to-Month,40.09,No
CUST04216,36,Month-to-Month,49.23,No
CUST03297,18,Two Year,44.08,No
CUST04862,24,Month-to-Month,87.55,Yes
CUST05639,1,Month-to-Month,76.11,Yes
CUST03152,2,Month-to-Month,61.59,No
CUST04883,24,Month-to-Month,38.27,No
CUST06080,3,Two Year,70.06,No
CUST02524,3,One Year,33.17,Yes
CUST04669,18,One Year,36.52,No
CUST06369,12,Two Year,61.72,No
CUST00488,3,Two Year,62.38,No
CUST05828,1,Month-to-Month,87.31,Yes
CUST00593,2,One Year,40.61,No
CUST02570,48,Two Year,59.78,No
CUST01057,24,Month-to-Month,63.74,Yes
CUST01434,18,Two Year,56.41,No
CUST04395,48,One Year,39.3,No
CUST00335,1,Month-to-Month,87.33,Yes
CUST01919,6,Month-to-Month,40.46,No
CUST03054,3,Month-to-Month,67.65,No
CUST06456,2,Two Year,57.08,No
CUST00024,3,One Year,37.77,No
CUST02190,18,Two Year,74.42,No
CUST01513,60,One Year,63.95,No
CUST02043,12,Two Year,34.41,No
CUST06128,3,One Year,45.6,No
CUST05694,18,Two Year,64.48,Yes
CUST03140,1,One Year,76.04,No
CUST05683,48,Month-to-Month,47.13,No
CUST01282,24,Two Year,29.73,No
CUST02649,6,One Year,34.12,No
CUST04476,12,Month-to-Month,46.58,No
CUST03908,3,Month-to-Month,47.41,Yes
CUST01039,1,Month-to-Month,45.45,Yes
CUST03170,6,Month-to-Month,87.76,Yes
CUST06113,48,Month-to-Month,47.86,No
CUST06660,3,Month-to-Month,52.1,Yes
CUST06792,3,Month-to-Month,71.69,Yes
CUST01245,24,Month-to-Month,38.41,No
CUST02878,2,Month-to-Month,89.76,Yes
CUST03246,2,Two Year,65.27,Yes
CUST03543,1,One Year,56.1,No
CUST00697,3,Month-to-Month,74.67,No
CUST05817,1,One Year,56.03,No
CUST03847,60,One Year,41.08,Yes
CUST01836,18,Month-to-Month,87.6,No
CUST05699,72,Two Year,67.75,No
CUST03298,1,Month-to-Month,52.9,No
CUST04012,6,One Year,56.49,No
CUST04483,12,One Year,44.74,No
CUST03613,6,Month-to-Month,41.92,Yes
CUST04563,36,Two Year,30.28,No
CUST03579,24,Month-to-Month,42.7,No
CUST05821,36,Month-to-Month,67.49,No
CUST00379,36,One Year,45.7,No
CUST06773,18,One Year,53.57,No
CUST06337,2,Two Year,30.68,No
CUST00200,24,Two Year,66.8,No
CUST02684,6,Two Year,64.06,Yes
CUST05066,1,Month-to-Month,58.37,Yes
CUST03617,12,Two Year,58.36,No
CUST05362,2,Month-to-Month,83.47,Yes
CUST02120,36,Two Year,49.39,No
CUST06897,24,One Year,34.26,No
CUST03382,6,One Year,61.52,No
CUST03708,3,Month-to-Month,80.16,No
CUST01601,2,Month-to-Month,91.5,Yes
CUST05028,1,One Year,30.31,Yes
CUST02716,3,Month-to-Month,79.44,No
CUST02803,48,Month-to-Month,42.19,No
CUST04882,6,Month-to-Month,71.79,No
CUST05659,60,Month-to-Month,78.28,No
CUST05195,2,Month-to-Month,67.88,No
CUST02664,18,Month-to-Month,78.8,No
CUST06738,1,Two Year,33.59,No
CUST06760,3,Month-to-Month,73.98,Yes
CUST01043,3,Month-to-Month,79.74,No
CUST03009,18,One Year,77.58,No
CUST06233,12,Two Year,66.85,Yes
CUST02848,2,Month-to-Month,69.43,Yes
CUST03400,12,Month-to-Month,77.21,Yes
CUST03568,18,Month-to-Month,64.93,No
CUST04472,72,Month-to-Month,82.31,No
CUST00928,12,Two Year,53.98,No
CUST02743,2,Two Year,49.67,No
CUST03290,2,Month-to-Month,86.98,Yes
CUST00548,18,Month-to-Month,58.8,Yes
CUST05704,2,One Year,59.58,No
CUST04501,18,Month-to-Month,46.13,Yes
CUST03482,12,One Year,65.03,No
CUST03185,12,One Year,48.62,No
CUST01766,3,Two Year,52.9,No
CUST01346,6,One Year,48.39,No
CUST01321,2,Month-to-Month,85.11,Yes
CUST05418,3,One Year,39.75,No
CUST05873,18,Month-to-Month,53.09,No
CUST04002,24,Month-to-Month,63.93,No
CUST02168,1,Month-to-Month,37.79,No
CUST05364,24,Month-to-Month,77.05,No
CUST01658,3,Month-to-Month,36.39,No
CUST02894,18,One Year,43.33,No
CUST01609,2,One Year,31.42,Yes
CUST03239,18,Two Year,38.06,No
CUST03439,48,Month-to-Month,40.58,No
CUST00519,72,One Year,30.97,No
CUST00612,24,Month-to-Month,53.37,Yes
CUST02543,36,Month-to-Month,61.48,No
CUST03236,2,One Year,79.42,No
CUST03072,18,Two Year,67.04,No
CUST03435,24,Two Year,42.88,No
CUST00492,18,Month-to-Month,48.17,Yes
CUST06035,18,Month-to-Month,66.54,No
CUST00734,12,Two Year,34.07,No
CUST00324,3,One Year,74.07,No
CUST06568,12,Month-to-Month,42.67,Yes
CUST05485,24,One Year,37.44,No
CUST04569,1,Month-to-Month,45.01,No
CUST01040,3,Two Year,27.62,No
CUST03856,1,One Year,45.27,Yes
CUST05278,3,One Year,66.07,No
CUST06992,2,One Year,59.78,No
CUST00325,60,Month-to-Month,36.49,No
CUST02681,2,Month-to-Month,78.25,Yes
CUST00587,1,Month-to-Month,62.88,Yes
CUST05126,18,Two Year,50.7,No
CUST01510,24,Month-to-Month,57.97,No
CUST01993,18,Month-to-Month,52.36,Yes
CUST04756,36,Month-to-Month,44.42,No
